#1000manxwords #1000manxwords
#Christmas #Christmas
#Cymraeg #Cymraeg
#Gaeilge #Gaeilge
#Gaelg #Gaelg
#Gaelic #Gaelic
#Gàidhlig #Gàidhlig
#HistoryinHeels #HistoryinHeels
#IOM #IOM
#IoM #IoM
#Ireland #Ireland
#IsleOfMan #IsleOfMan
#IsleofMan #IsleofMan
#Kernewek #Kernewek
#Manaweg #Manaweg
#Manx #Manx
#ManxWithGaelicSpelling #ManxWithGaelicSpelling
#MotherLanguage #MotherLanguage
#NicolaDixon #NicolaDixon
#RakutenJP #RakutenJP
#SolaceNoa #SolaceNoa
#SophiaMorrison #SophiaMorrison
#TIML2016 #TIML2016
#TT2013 #TT2013
#TT2014 #TT2014
#Tinvaal #Tinvaal
#Traditional #Traditional
#Twitter #Twitter
#TynwaldDay #TynwaldDay
#ValentinesDay #ValentinesDay
#Wimbledon #Wimbledon
#awww #awww
#belowtheline #belowtheline
#brrr #brrr
#culture #culture
#fb #fb
#g #g
#gae #gae
#gaeilge #gaeilge
#gael #gael
#gaelg #gaelg
#gaelgeek #gaelgeek
#gaelic #gaelic
#gaidhlig #gaidhlig
#galeg #galeg
#gv2ga #gv2ga
#gàidhlig #gàidhlig
#hihohiho #hihohiho
#hockey #hockey
#imld14 #imld14
#interceltique #interceltique
#iom #iom
#iomtt #iomtt
#iomtt2014 #iomtt2014
#isleofman #isleofman
#jerriais #jerriais
#kernewek #kernewek
#livebelowthelineuk #livebelowthelineuk
#man #man
#manx #manx
#manx#gaelg #manx#gaelg
#manxcalendar #manxcalendar
#manxmusic #manxmusic
#manxscenes #manxscenes
#manxwithgaelicspellng #manxwithgaelicspellng
#music #music
#peel #peel
#rhumsaa #rhumsaa
#sea #sea
#smc #smc
#soundcloud #soundcloud
#tweet2learn #tweet2learn
#voicesof4 #voicesof4
'n an
Affrickagh Afracach
Affrickagh Afracacha
Affrickagh Afracaigh
Affrickagh tAfracach
Affrickee Afracaigh
Affrickee Afracaí
Affrickey Afraic
Affrickey Afraice
Afgaanagh Afganastánach
Afgaanagh Afganastánacha
Afgaanagh Afganastánaigh
Afgaanagh tAfganastánach
Afgaanee Afganastánaigh
Afgaanee Afganastánaí
Afghanistaan Afganastáin
Afghanistaan Afganastáine
Africa Afraic
Africa Afraice
Africka Afraic
Africka Afraice
Africkey Afraic
Africkey Afraice
Agag Agag
Aha Aha
Airways Airways
Aishanagh tÁiseach
Aishanagh Áiseach
Aishanagh Áiseacha
Aishanagh Áisigh
Aishanee Áisigh
Aishanee Áisí
Aishey Áise
Akana Akana
Akanuma Akanuma
Alamos Alamos
Alba Alba
Albaan Albáin
Albaan Albáine
Albaanish Albáinis
Albaanish Albáinise
Albaneagh Albánach
Albaneagh Albánacha
Albaneagh Albánaigh
Albaneagh Albánaí
Albaneagh tAlbánach
Albaneaghyn Albánaigh
Albey Alban
Albin Albain
Albinagh Albanach
Albinagh Albanacha
Albinagh Albanaigh
Albinagh tAlbanach
Albinaght Albanachais
Albinaght Albanachas
Albinaght tAlbanachas
Albinee Albanaigh
Albinee Albanaí
Albinish Gàidhlig
Albrecht Albrecht
Algear Ailgéir
Algear Ailgéire
Algearagh Ailgéarach
Algearagh Ailgéaracha
Algearagh Ailgéaraigh
Algearagh tAilgéarach
Algearee Ailgéaraigh
Algearee Ailgéaraí
Alick Alick
AlignBars AlignBars
Alistair Alistair
Alister Alister
Alleluia Alleluia
Alliaceae Alliaceae
Allinson Allinson
Alphagh Alpach
Alphagh Alpacha
Alphagh Alpaigh
Alphee Alpaí
Alpine Alpine
Alsaashagh Alsáiseach
Alsaashagh Alsáiseacha
Alsaashagh Alsáisigh
Alsaashagh tAlsáiseach
Alsaashee Alsáisigh
Alsaashee Alsáisí
Alþingi Alþingi
Amano Amano
Amason Amasóin
Amason Amasóine
Amasonyn Amasóiní
America Meiriceá
America Mheiriceá
Americaanagh Meiriceánach
Americaanagh Meiriceánacha
Americaanagh Meiriceánaigh
Americaanagh Mheiriceánach
Americaanagh Mheiriceánacha
Americaanagh Mheiriceánaigh
Americaanee Meiriceánaigh
Americaanee Meiriceánaí
Americaanee Mheiriceánaigh
Americaanee Mheiriceánaí
Americaanish Meiriceánachais
Americaanish Meiriceánachas
Americaanish Mheiriceánachais
Americaanish Mheiriceánachas
American American
Americanagh Meiriceánach
Americanagh Meiriceánacha
Americanagh Meiriceánaigh
Americanagh Mheiriceánach
Americanagh Mheiriceánacha
Americanagh Mheiriceánaigh
Americanee Meiriceánaigh
Americanee Meiriceánaí
Americanee Mheiriceánaigh
Americanee Mheiriceánaí
Amerig Meiriceá
Amerig Mheiriceá
Amidaji Amidaji
Anacardiaceae Anacardiaceae
Andorra Andóra
Andorra tAndóra
Andra Andra
Aneeagh Aonaíche
Aneeagh Aonaígh
Aneeagh Aonaíoch
Aneeagh Aonaíocha
Aneeagh tAonaíoch
Aneeaghyn Aonaígh
Angiospermae Angiospermae
Anglicaanagh Anglacánach
Anglicaanagh Anglacánacha
Anglicaanagh Anglacánaigh
Anglicaanagh tAnglacánach
Anglicaanaght Anglacánachais
Anglicaanaght Anglacánachas
Anglicaanaght tAnglacánachas
Anglicaanee Anglacánaigh
Anglicaanee Anglacánaí
Anglo-Catoleagh Angla-Caitliceach
Anglo-Catoleagh Angla-Caitliceacha
Anglo-Catoleagh Angla-Caitlicigh
Anglo-Catoleagh Angla-Caitlicí
Anglo-Hostnagh Angla-Shacsanach
Anglo-Hostnagh Angla-Shacsanacha
Anglo-Hostnagh Angla-Shacsanaigh
Anglo-Hostnagh tAngla-Shacsanach
Anglo-Hostnee Angla-Shacsanaigh
Anglo-Hostnee Angla-Shacsanaí
Anglo-Injinagh Angla-Indiach
Anglo-Injinagh Angla-Indiacha
Anglo-Injinagh Angla-Indiaigh
Anglo-Injinagh tAngla-Indiach
Anglo-Injinee Angla-Indiaiche
Anglo-Injinee Angla-Indiaigh
Anglo-Normanagh Angla-Normannach
Anglo-Normanagh Angla-Normannaigh
Anglo-Normanagh tAngla-Normannach
Anglo-Normanee Angla-Normannaigh
Anglo-Yernagh Angla-Éireannach
Anglo-Yernagh Angla-Éireannacha
Anglo-Yernagh Angla-Éireannaigh
Anglo-Yernee Angla-Éireannaí
Angoley Angóla
Angoley tAngóla
Anhrinaidagh tÚinitéireach
Anhrinaidagh Úinitéireach
Anhrinaidagh Úinitéireacha
Anhrinaidagh Úinitéirigh
Anhrinaidaght tÚinitéireachas
Anhrinaidaght Úinitéireachais
Anhrinaidaght Úinitéireachas
Anhrinaidee Úinitéirigh
Anhrinaidee Úinitéirí
Anhui Anhui
Animal Animal
Animalia Animalia
Anjou Anjou
Ankara Ankara
Annas Annas
Ans Ans
Antarctagh Antartach
Antarctagh Antartacha
Antarctagh Antartaigh
Antarctagh tAntartach
Antarctee Antartaí
Antigua Antigua
Antioch Aintíoc
Antoniadi Antoniadi
Antti Antti
Anvashtagh Anabaisteach
Anvashtagh Anabaisteacha
Anvashtagh Anabaistigh
Anvashtagh tAnabaisteach
Anvashtee Anabaistigh
Anvashtee Anabaistí
Aodoù-an-Arvor Aodoù-an-Arvor
Aontrym Aontroim
Aontrym Aontroma
Aontrym tAontroim
Apash Apáitsis
Apash Apáitsise
Apiaceae Apiaceae
Apocynaceae Apocynaceae
April April
Aqaba Aqaba
Aqua Aqua
Aquila Aquila
Araab Araib
Araab Araibe
Arabagh Arabach
Arabagh Arabacha
Arabagh Arabaigh
Arabagh tArabach
Arabaght Araib
Arabaght Araibe
Arabee Arabaigh
Arabee Arabaí
Arabianagh Arabach
Arabianagh Arabaigh
Arabianagh tArabach
Arabianee Arabaigh
Arabish Araibis
Arabish Araibise
Araceae Araceae
Aragonish Aragóinis
Aragonish Aragóinise
Aramaaish Aramais
Aramaaish Aramaise
Aran Árainn
Aran Árann
Arbory Arbory
Arcade Arcade
Arctagh Artach
Arctagh Artaigh
Arctagh tArtach
Arctium Arctium
Ard-Hirveishagh Phríomh-Aire
Ard-Hirveishagh Príomh-Aire
Ard-Hirveishee Phríomh-Airí
Ard-Hirveishee Príomh-Airí
Ard-Rheynn Príomhroinn
Ard-Scrudeyr Ard-Rúnaí
Ard-Scrudeyr tArd-Rúnaí
Ard-Shirveishagh Phríomh-Aire
Ard-Shirveishagh Príomh-Aire
Ard-Shirveishee Phríomh-Airí
Ard-Shirveishee Príomh-Airí
Ard-Valley Cathair
Ard-Valley Cathrach
Ard-Valley Chathair
Ard-Valley Chathrach
Ard-Vinishter Phríomh-Aire
Ard-Vinishter Príomh-Aire
Ard-Vinishteryn Phríomh-Airí
Ard-Vinishteryn Príomh-Airí
Ard-shirveishagh Phríomh-Aire
Ard-shirveishagh Príomh-Aire
Ard-shirveishee Phríomh-Airí
Ard-shirveishee Príomh-Airí
Ard-whaiyl Ard-Chúirt
Ard-whaiyl Ard-Chúirte
Ard-whaiyl Parlaimint
Ard-whaiyl Parlaiminte
Ard-whaiyl Pharlaimint
Ard-whaiyl Pharlaiminte
Ard-whaiylyn Parlaimintí
Ard-whaiylyn Pharlaimintí
Ardrushen Ardrushen
Area Area
Arecaceae Arecaceae
Argenteen Airgintín
Argenteen Airgintíne
Argob Argob
Arimanes Arimanes
Aristolochiaceae Aristolochiaceae
Arjantrae Arjantrae
Arjenteen Airgintín
Arjenteen Airgintíne
Arkham Arkham
Armeain Airméin
Armeain Airméine
Armeainish Airméinis
Armeainish Airméinise
Armeanagh Airméanach
Armeanagh Airméanacha
Armeanagh Airméanaigh
Armeanagh tAirméanach
Armeanee Airméanaigh
Armeanee Airméanaí
Arnarson Arnarson
Arne Arne
Arras Arras
Arturagh Artúrach
Arturagh Artúracha
Arturagh Artúraigh
Arturee Artúraí
Asquith Asquith
Asserbajaan Asarbaiseáin
Asserbajaan Asarbaiseáine
Association Association
Assyria an Aisiria
Assyria na hAisiria
Assyriagh Aisiriach
Assyriagh Aisiriacha
Assyriagh Aisiriaigh
Assyriagh tAisiriach
Assyrian Aisiriach
Assyrian Aisiriacha
Assyrian Aisiriaiche
Assyrian Aisiriaigh
Assyrian tAisiriach
Assyrianagh Aisiriach
Assyrianagh Aisiriaigh
Assyrianagh tAisiriach
Assyrianee Aisiriaigh
Assyrianyn Aisiriaigh
Assyriee Aisiriaiche
Assyriee Aisiriaigh
Asteckagh Astacach
Asteckagh Astacacha
Asteckagh Astacaigh
Asteckagh tAstacach
Asteckee Astacaigh
Asteckee Astacaí
Asteraceae Asteraceae
Atelidae Atelidae
Athabaskagh Atapascach
Athabaskagh Atapascacha
Athabaskagh Atapascaigh
Athabaskee Atapascaí
Atheen Aithin
Atheen Aithne
Atheenagh Aithneach
Atheenagh Aithneacha
Atheenagh Aithnigh
Atheenagh tAithneach
Atheenee Aithnigh
Atheenee Aithní
Athletic Athletic
Athol Athol
Atholl Atholl
Atlantagh Atlantach
Atlantagh Atlantacha
Atlantagh Atlantaigh
Atlantagh tAtlantach
Atlantee Atlantaí
Atlantic Atlantic
Aubeinyae Aubeinyae
August August
Augustanagh Ágastach
Augustanagh Ágastacha
Augustanagh Ágastaigh
Augustanee Ágastaí
Augusteenagh Agaistíneach
Augusteenagh Agaistínigh
Augusteenagh tAgaistíneach
Augusteenee Agaistínigh
Augustus Augustus
Austeyr Ostair
Austeyr Ostaire
Austeyragh Ostarach
Austeyragh Ostaracha
Austeyragh Ostaraigh
Austeyragh tOstarach
Austeyree Ostaraigh
Austeyree Ostaraí
Austraaley Astráil
Austraaley Astráile
Austrail Astráil
Austrail Astráile
Austrailagh Astrálach
Austrailagh Astrálacha
Austrailagh Astrálaigh
Austrailagh tAstrálach
Austrailee Astrálaigh
Austrailee Astrálaí
Austraineeshagh Astráinéisise
Australasia Astraláise
Australasianagh Astraláiseach
Australasianagh Astraláiseacha
Australasianagh Astraláisigh
Australasianee Astraláisí
Australia Astráil
Australia Astráile
Australian Australian
Authority Authority
Avenue Avenue
Averil Aibreáin
Averil Aibreán
Averil tAibreán
Averilyn Aibreáin
Avignon Avignon
Awards Awards
Ayre Ayre
Ayreeanagh Airígh
Ayreeanagh Airíoch
Ayreeanagh Airíocha
Ayreeanagh tAiríoch
Ayreeanee Airíche
Ayreeanee Airígh
Azərbaycan Azərbaycan
B1257 B1257
BKE BKE
BNP BNP
BREESH BREESH
BT BT
Baab bPápa
Baabyn bPápaí
Baaish Báis
Baarlagh Béarla
Baarlagh-Yernish Béarla-Gaeilge
Baarlaghys Béarlachas
Baarle Béarla
Baarleagh Béarla
Baarleyr Béarlóir
Baarleyr Béarlóra
Baarleyryn Béarlóirí
Baarool Baarool
Baaroole Baaroole
Baarys bPáras
Baarysagh bPárasach
Baarysagh bPárasaigh
Baarysee bPárasaigh
Baase Bás
Baban bPápa
Babanyn bPápaí
Babel Báibil
Babington Babington
Babson Babson
Babylon an Bhablóin
Babylon na Bablóine
Babylonian Bablónach
Babylonian Bablónaigh
Babylonianee Bablónaigh
Babylonnagh Bablónach
Babylonnagh Bablónacha
Babylonnagh Bablónaigh
Babylonnee Bablónaigh
Babylonnee Bablónaí
BackgroundColors BackgroundColors
Bacteria Bacteria
Baines Baines
Baisantagh Biosántach
Baisantagh Biosántacha
Baisantagh Biosántaigh
Baisantee Biosántaigh
Baisantee Biosántaí
Baisantium an Bhiosáint
Baisantium na Biosáinte
Baishagh bPáiseadóir
Baishagh bPáiseadóra
Baishee bPáiseadóirí
Bait Bait
Bakehouse Bakehouse
Bakistaan bPacastáin
Bakistaan bPacastáine
Bakistaanagh bPacastánach
Bakistaanagh bPacastánaigh
Bakistaanee bPacastánaigh
Bakuman Bakuman
Balasteen bPalaistín
Balasteen bPalaistíne
Balasteenagh bPalaistíneach
Balasteenagh bPalaistínigh
Balasteenee bPalaistínigh
Baldrine Baldrine
Balearagh Bailéarach
Balearagh Bailéaracha
Balearagh Bailéaraigh
Balearee Bailéaraí
Balestine bPalaistín
Balestine bPalaistíne
Balkanagh Balcánach
Balkanagh Balcánacha
Balkanagh Balcánaigh
Balkanee Balcánaigh
Balkanee Balcánaí
Ballachashtal Ballachashtal
Balladoole Balladoole
Ballaskeig Ballaskeig
Balmoral Balmoral
Baltagh Baltach
Baltagh Baltacha
Baltagh Baltaigh
Baltee Baltaí
Banamaa bPanama
Band Band
Bangladesh Banglaidéis
Bangladesh Banglaidéise
Bangor Bangor
Bank Bank
Banlickan Banlickan
Bantu Bantúch
Bantu Bantúcha
Bantu Bantúiche
Bapan bPápa
Bapanyn bPápaí
BarData BarData
Baraguay bParagua
Barbados Barbadós
Barbeyr Barbair
Barbeyr Barbaire
Barents Barents
Baris bPáras
Barkhausen Barkhausen
Barnum Barnum
Barrool Barrool
Barrule Barrule
Bartolomeo Bartolomeo
Bascagh Bascach
Bascagh Bascacha
Bascagh Bascaigh
Bascee Bascaigh
Bascee Bascaí
Bascish Bascais
Bascish Bascaise
Base Base
Bashtagh Baisteach
Bashtagh Baistigh
Bashtee Baistigh
Baskish Bascais
Baskish Bascaise
Bastable Bastable
Batagoan bPatagóin
Batagoan bPatagóine
Baveyr Baváir
Baveyr Baváire
Baveyragh Bavárach
Baveyragh Baváracha
Baveyragh Baváraigh
Baveyree Baváraigh
Baveyree Baváraí
Bay Bay
Bective Bective
Bedevere Bedevere
Bedfordshire Bedfordshire
Bedjoonagh Beidiúnach
Bedjoonagh Beidiúnacha
Bedjoonagh Beidiúnaigh
Bedjoonee Beidiúnaigh
Bedjoonee Beidiúnaí
Beecroft Beecroft
Belaroosh Bealarúis
Belaroosh Bealarúise
Belarooshagh Bealarúiseach
Belarooshagh Bealarúiseacha
Belarooshagh Bealarúisigh
Belarooshee Bealarúisigh
Belarooshee Bealarúisí
Belarooshish Bealarúisis
Belarooshish Bealarúisise
Belchem Belchem
Beleesh Beilís
Beleesh Beilíse
Belg Beilg
Belg Beilge
Belgae Belgae
Belgagh Beilgeach
Belgagh Beilgeacha
Belgagh Beilgigh
Belgee Beilgigh
Belgee Beilgí
Belgraaid Béalgrád
Bemoaning Bemoaning
Ben-Yehuda Ben-Yehuda
Ben-Çhiarn Bantiarna
Bender Bender
Benedictagh Beinidicteach
Benedictagh Beinidicteacha
Benedictagh Beinidictigh
Benedictee Beinidictigh
Benedictee Beinidictí
Benfro Benfro
Bengaal Beangál
Bengaalagh Beangálach
Bengaalagh Beangálacha
Bengaalagh Beangálaigh
Bengaalee Beangálaigh
Bengaalee Beangálaí
Bengaalish Beangáilis
Bengaalish Beangáilise
Benin Beinin
Berberidaceae Berberidaceae
Bergen Bergen
Berkshire Berkshire
Berlebeck Berlebeck
Berleen Beirlín
Beroo bPeiriú
Beroovagh bPeiriúch
Beroovagh bPeiriúigh
Beroovee bPeiriúigh
Bershagh bPeirseach
Bershagh bPeirsigh
Bershee bPeirsigh
Bershey bPeirs
Bershey bPeirse
Bershish bPeirsis
Bershish bPeirsise
Bershish bhFairsis
Bershish bhFairsise
Bersianagh bPeirseach
Bersianagh bPeirsigh
Bersianee bPeirsigh
Beryl Beryl
Beta Beta
Bette Bette
Bettison Bettison
Betula Betula
Betulaceae Betulaceae
Bhangra Bhangra
Bharaoh bhForainn
Bharaoh bhForann
Bharisee bhFairisíneach
Bharisee bhFairisínigh
Bhariseeyn bhFairisínigh
Bharoah bhForainn
Bharoah bhForann
Bhilistine bhFilistíneach
Bhilistine bhFilistínigh
Bhilistinee bhFilistínigh
Biandraie Biandraie
Biała Biała
Bict gCruithneach
Bict gCruithnigh
Bictyn gCruithnigh
Bielsko-Biała Bielsko-Biała
Bilsiter Bilsiter
Birberry Birberry
Biscaayn Bioscáin
Biscaayn Bioscáine
Blazin' Blazin'
Blindell Blindell
Bluto bPlútóin
Bluto bPlútón
Boaldyn Bealtaine
Boaldyney Bealtaine
Boaldynyn Bealtainí
Board Board
Boas Boas
Boayldyn Boayldyn
Boer Bórach
Boer Bóraigh
Boeragh Bórach
Boeragh Bóracha
Boeragh Bóraigh
Boeree Bóraigh
Boeree Bóraí
Boeryn Bóraigh
Boggis Boggis
Bohai Bohai
Bohemian Bohemian
Bolaneesagh bPolainéiseach
Bolaneesagh bPolainéisigh
Bolaneesee bPolainéisigh
Bolaneesey bPolainéis
Bolaneesey bPolainéise
Boliveeagh Bolavach
Boliveeagh Bolavacha
Boliveeagh Bolavaigh
Boliveeagh Bolavaí
Boliveeaghyn Bolavaigh
Bolivia Bolaiv
Bolivia Bolaive
Boll Boll
Bolynn bPolainn
Bolynn bPolainne
Bolynnagh bPolannach
Bolynnagh bPolannaigh
Bolynnee bPolannaigh
Bolynnish bPolainnis
Bolynnish bPolainnise
Bombycidae Bombycidae
Books Books
Borneo Boirneo
Bortingal bPortaingéil
Bortingal bPortaingéile
Bortiugagh bPortaingéalach
Bortiugagh bPortaingéalaigh
Bortiugal bPortaingéil
Bortiugal bPortaingéile
Bortiugee bPortaingéalaigh
Bortiugish bPortaingéilis
Bortiugish bPortaingéilise
Bosnia an Bhoisnia
Bosnia na Boisnia
Botorrita Botorrita
Botswaan Botsuáin
Botswaan Botsuáine
Boulogne Boulogne
Boyde Boyde
Braag bPrág
Bradda Bradda
Bragg Bragg
Braide Braide
Braintree Braintree
Brandenburg Brandenburg
Brasil Brasaíl
Brasil Brasaíle
Brasillagh Brasaíleach
Brasillagh Brasaíleacha
Brasillagh Brasaíligh
Brasillee Brasaíligh
Brasillee Brasaílí
Brasseel Brasaíl
Brasseel Brasaíle
Brasseelagh Brasaíleach
Brasseelagh Brasaíleacha
Brasseelagh Brasaíligh
Brasseelee Brasaíligh
Brasseelee Brasaílí
Brassica Brassica
Brassicaceae Brassicaceae
Braveheart Braveheart
Breaking Breaking
Brede Brede
Breesha Breesha
Breeshey Breeshey
Breesheydagh Brigiteach
Breesheydagh Brigiteacha
Breesheydagh Brigitigh
Breesheydee Brigitigh
Breesheydee Brigití
Breeu-Hirveishagh bPríomh-Aire
Breeu-Hirveishee bPríomh-Airí
Breizh Breizh
Bresbyteyragh bPreispitéireach
Bresbyteyragh bPreispitéirigh
Bresbyteyraght bPreispitéireachais
Bresbyteyraght bPreispitéireachas
Bresbyteyree bPreispitéirigh
Brestisson Brestisson
Bretagne Bretagne
Bretin an Bhreatain Bheag
Bretin na Breataine Bige
Bretnagh Breatnach
Bretnagh Breatnacha
Bretnagh Breatnaigh
Bretnee Breatnaigh
Bretnee Breatnaí
Bretnish Breatnais
Bretnish Breatnaise
Bretnisheyr cainteoir Breatnaise
Bretonagh Briotánach
Bretonagh Briotánacha
Bretonagh Briotánaigh
Bretonee Briotánaigh
Bretonee Briotánaí
Bretyn an Bhreatain Bheag
Bretyn na Breataine Bige
Brew Brew
Brezhoneg Brezhoneg
Brian Briain
Brian Brian
Bridge Bridge
Bridgewater Bridgewater
Bridjen Bridjen
Britaan Briotáin
Britaan Briotáine
Britaanagh Briotánach
Britaanagh Briotánacha
Britaanagh Briotánaigh
Britaanee Briotánaigh
Britaanee Briotánaí
Britaanish Briotáinis
Britaanish Briotáinise
Britain Britain
Britanniae Britanniae
Britannica Britannica
British British
Bro Bro
Bro-Gerne Bro-Gerne
Broioù Broioù
Brokhausen Brokhausen
Broosh bPrúis
Broosh bPrúise
Brooshagh bPrúiseach
Brooshagh bPrúisigh
Brooshee bPrúisigh
Brotestoonagh bProtastúnach
Brotestoonagh bProtastúnaigh
Brotestoonee bProtastúnaigh
Brotestoonys bProtastúnachais
Brotestoonys bProtastúnachas
Brussyl Bruiséil
Brussyl Bruiséile
Brutacus Brutacus
Brutus Brutus
Bryn Bryn
Brythonagh Briotanach
Brythonagh Briotanacha
Brythonagh Briotanaigh
Brythonee Briotanaí
Buada Buada
Bucharest Búcairist
Buckinghamshire Buckinghamshire
Budapest Búdaipeist
Buddagh Búdaíoch
Buddagh Búdaíocha
Buddee Búdaíche
Buddha Búda
Buddhagh Búdaí
Buddhagh Búdaíoch
Buddhagh Búdaíocha
Buddhayn Búdaí
Buddhee Búdaithe
Buddhee Búdaíche
Buffin Buffin
Bufonidae Bufonidae
Bulgarianagh Bulgárach
Bulgarianagh Bulgáraigh
Bulgarianee Bulgáraigh
Bulgeyr Bulgáir
Bulgeyr Bulgáire
Bulgeyragh Bulgárach
Bulgeyragh Bulgáracha
Bulgeyragh Bulgáraigh
Bulgeyree Bulgáraigh
Bulgeyree Bulgáraí
Bulgeyrish Bulgáiris
Bulgeyrish Bulgáirise
Bun-Troggalys Bonneagar
Bunce Bunce
Burgoon Burgúin
Burgoon Burgúine
Burgoonagh Burgúnach
Burgoonagh Burgúnacha
Burgoonagh Burgúnaigh
Burgoonee Burgúnaigh
Burgoonee Burgúnaí
Burmagh Burmach
Burmagh Burmacha
Burmagh Burmaigh
Burmee Burmaigh
Burmee Burmaí
Burmey Burma
Burmish Burmais
Burmish Burmaise
Burundee an Bhurúin
Burundee na Burúine
Butaan Bútáin
Butaan Bútáine
Butters Butters
Buxton Buxton
Bydgoszcz Bydgoszcz
Bytów Bytów
CGJR CGJR
CIG CIG
CS CS
Caarlagh Ceatharlach
Caarlagh Ceatharlaigh
Cadiz Cadiz
Caernarfon Caernarfon
Cafe Cafe
Caillyn caileann
Caillyn caille
Cairo Caireo
Cairstìona Cairstìona
Cairtaig Cartaig
Cairtaig Cartaige
Cairtaigagh Cartagach
Cairtaigagh Cartagacha
Cairtaigagh Cartagaigh
Cairtaigee Cartagaigh
Cairtaigee Cartagaí
Cairteesagh Cairtéiseach
Cairteesagh Cairtéiseacha
Cairteesagh Cairtéisigh
