#buchòir #tá
#BuChòir #Tá
#Buchòir #Tá
#Bàrdachd #Filíocht
#bàrdachd #filíocht
#Briog #Cliceáil
#ceòl #ceol
#Eòrpa #Eoraip
#Eorpa #Eoraip
#eòrpa #eoraip
#eorpa #eoraip
#gaidhlig #gàidhlig
#Gaidhlig #Gàidhlig
#ALBA #ALBAIN
#alba #albain
#Alba #Albain
#Glaschu #Glaschú
#foghlam #foghlaim
#Foghlam #Foghlaim
#Spòrsnaseachdain #Spórtnaseachtaine
#taghadh11 #toghchán11
#AnLà #AnLá
#Ceòl #Ceol
#dealbh #grianghraf
#antaghadh #antoghchán
#antaghadh2010 #antoghchán2010
#Òrain #Amhráin
#Sporsnaseachdain #Spórtnaseachtaine
#sporsnaseachdain #spórtnaseachtaine
#SpòrsnaSeachdainn #SpórtnaSeachtaine
#SpòrsnaSeachdain #SpórtnaSeachtaine
#spòrsnaseachdain #spórtnaseachtaine
2D 2T
20amh 20ú
21mh 21ú
21st 21ú
22mh 22ú
22na 22ú
23mh 23ú
24mh 24ú
25mh 25ú
26mh 26ú
27mh 27ú
28mh 28ú
29mh 29ú
30mh 30ú
31mh 31ú
40mh 40ú
50mh 50ú
1700an 1700í
1710an 1710í
1720an 1720í
1730an 1730í
1740an 1740í
1750an 1750í
1760an 1760í
1770an 1770í
1780an 1780í
1790an 1790í
1800an 1800í
1810an 1810í
1820an 1820í
1830an 1830í
1840an 1840í
1850an 1850í
1860an 1860í
1870an 1870í
1880an 1880í
1890an 1890í
1900an 1900í
1910an 1910í
1920an 1920í
20an 20í
20ean 20í
1930an 1930í
30an 30í
30ean 30í
1940an 1940í
40an 40í
40ean 40í
1950an 1950í
50an 50í
50ean 50í
1960an 1960í
60an 60í
60ean 60í
1970an 1970í
70an 70í
70ean 70í
1980an 1980í
80an 80í
80ean 80í
1990an 1990í
1990s 1990í
90an 90í
90ean 90í
2000an 2000í
00an 00í
00ean 00í
2010an 2010í
10an 10í
10ean 10í
aa an
Aaroin Árón
a5 an
a5 ag
abair déarfaidh
abair ndéarfaidh
a'bhaile an bhaile
Abeil Áibil
Abel Áibil
a'bhuth an siopa
Abimelech Aibímeilic
Abner Aibnéar
abradh déarfadh
abradh ndéarfadh
Abrahaim Abrahám
Abrahàim Abrahám
Abraham Abrahám
Abrahàm Abrahám
Abraim Abrám
abrainn déarfainn
abrainn ndéarfainn
abramaid déarfaimis
abramaid ndéarfaimis
abrar déarfar
abrar ndéarfar
a'bruidhinn ag labhairt
Absalom Aibseálóm
AC AD
acb ach
accordeon bosca ceoil
a-chèile a chéile
a'chiad an chéad
a'chlas an ranga
a'ciallachadh ag ciallú
a'cleachdadh ag úsáid
a'cluich ag seinm
a'coimhead ag breathnú
a'coimhead ag amharc
a'coimhead ag féachaint
a'coiseachd ag siúl
a'Cho-Fhlaitheis an Chomhlathais
a'cumail ag coinneáil
a'cur ag cur
ad i do
a'd' i do
Adah Ádá
a'dèanamh ag déanamh
a'deanamh ag déanamh
a'dearsadh ag lonrú
a'dearrsadh ag lonrú
a'deàrrsadh ag lonrú
a-deas theas
Adhaimh Ádhaimh
Àdhaimh Ádhaimh
Adhamh Ádhamh
Àdhamh Ádhamh
Adhamhnan Adhamhnán
adhartachadh a chur chun cinn
adhartais dul chun cinn
adhartasan dul chun cinn
a-dol ag dul
a'dol ag dul
Adomnán Adhamhnán
Adomnan Adhamhnán
AE AE
aea acu
aeh ach
a'faighinn ag fáil
a'faireachdainn ag mothú
a'fàs ag fás
Afraca-a-Tuath Tuaisceart na hAfraice
Afraga-a-Tuath Tuaisceart na hAfraice
Afrikaans Afracáinis
a'fuireach ina chónaí
a'fuireach ag fanacht
a'gabhail ag gabháil
a'gabhail ag glacadh
agas agus
Agaistin Agaistín
a'Ghàidhlig an Ghàidhlig
aghaidh-sa aghaidhse
a'ghraidh a ghrá
a'ghrian an ghrian
agiis agus
agua agus
Ah Á
Ahab Acháb
Ahaib Acháb
Aholibamah Oholabámá
ai ag
aibh aigí
aidh aidhe
àidh aidhe
AIDS SEIF
Aifhreann Aifreann
Aindreas Aindrias
Aine Áine
Ainmean-Àite Logainmneacha
ainm-sa ainmse
ainmsa ainmse
ainm-san ainmse
ainmsan ainmse
aireòbaich aeróbaíocht
Air-Loidhne Ar Líne
aiseagan báid fharantóireachta
àiteachan-fuirich áiteanna cónaithe
àitean-fuirich áiteanna cónaithe
aithnichinn-sa aithneoinnse
al ag
AlasdairBochd AlasdairBocht
Albainn Alba
Alban Albain
a'leantainn ag leanúint
a'leughadh ag léamh
Algiers Cathair na hAilgéire
alumnus céimí
am i mo
a'm' i mo
a-macho amach
amaran-snàimh linnte snámha
Amasiah Amaiziá
a'Mharag a Mharag
amen áiméan
àm-lunch am lóin
àm-sa am-sa
amsaa srl
Amsterdam Amstardam
Anah Aná
'anam a anam
ana-mhòir an-mhór
Andalusia an Andalúis
an-deidh i ndiaidh
Andorra Andóra
Anndrais Aindriais
anemone anamóine
annsa ansa
Antonaidh Antaine
aonais éagmhais
aon-neach aonair
app aip
Arabia an Araib
Aràibia an Araib
aran-is-ìm arán is im
Arcaich Arcaigh
àrd-bheann sléibhte
Àrd-Ìre Ardleibhéil
Àrd-Oifigear Ard-Oifigeach
Àrd-Sgoil Ardscoil
àrd-sheanaidh chomhthionóil ghinearálta
Arphacsad Arpaicsead
Arra-Ghaidheal Earra-Ghàidheal
Arra-Ghàidheal Earra-Ghàidheal
Arra-Gháidheal Earra-Ghàidheal
Arra-Ghaidheil Earra-Ghàidheil
Arra-Ghàidheil Earra-Ghàidheil
Arra-Gháidheil Earra-Ghàidheil
ars arsa
ars' arsa
arsa arsa
a'ruith ag rith
as is
Asa Ásá
a'seinn ag canadh
a'sgrìobhadh ag scríobh
a'smaoineachadh ag smaoineamh
a'smaointinn ag smaoineamh
ata atá
atha atá
Atha Átha
'athair a athair
athair-san athairse
'athair-san a athairse
'athar a athar
athar-sa atharsa
ath-bhliadhna bhliain seo chugainn
ath-bhliadhna bliain seo chugainn
Athena Aitéiné
Ath-Leasachadh Leasú
Ath-Leasachadh Reifirméisean
Ath-Leasachaidh Leasaithe
Ath-Leasachaidh Reifirméisin
Ath-Nuadhaichte In-athnuaite
ath-thweet atweet
a'tighinn ag teacht
a'tilleadh ag filleadh
a'toirt ag tabhairt
a'toiseachadh ag tosú
a'tòiseachadh ag tosú
a-Tuath Thuaidh
a'tuigsinn ag tuiscint
au au
au an
audio fhuaim
audio fuaim
audio fuaime
Augustine Agaistín
Avalonia Abhalóinia
axis ais
axis-x x-ais
axis-y y-ais
axes aiseanna
aye aidhe
Badhlaich Badhlaigh
Bahai Bahá'íoch
Bahai Bhahá'íoch
Bahai mBahá'íoch
Bahamas Bahámaí
Bàideanaich Báideanaigh
Bail Baile
bailtean-iasgaich bailte iascaireachta
bailtean-mòra bailte móra
b'aithne b'aithnid
Balaam Balám
Balaam Bhalám
Ban Bán
b'ann ba
Ban-Rìgh Banríon
Barabas Barabas
Barabbas Barabas
barail-se barúilse
bass dordghiotár
bass dordghiotáir
bàtaichean-aiseig báid fharantóireachta
bba bhí
bbi bhí
BC BC
BC RC
b'e ba é
beachd-ne dtuairimse
beachd-ne tuairimse
beachd-sa dtuairimse
beachd-sa tuairimse
beachd-san dtuairimse
beachd-san tuairimse
beachd-se dtuairimse
beachd-se tuairimse
b'eadh ba ea
beag-feuma gan mhaith
Beál Béal
Bearnaraigh Beàrnaraigh
Beer-sèba Béar Seaba
beil bhfuil
beilear bhfuiltear
beileas bhfuiltear
beir bhéarfaidh
beir mbéarfaidh
beirtear beirtear
Belarus an Bhealarúis
Belize an Bheilís
Beniàmin Biniáimin
bèobaban crainn bhaobab
Berlin Beirlín
b'esan ba eisean
Betel Béitéil
Betlehem Beithil
Bet-lehem Beithil
Betani Béatáine
Betania Béatáine
Beul-Feirste Béal Feirste
b'fhaisge b'fhoisce
b'fheairrde b'fhearrde
b'fheàirrde b'fhearrde
b'fhèarr b'fhearr
b'fheàrr b'fhearr
b'fhearr b'fhearr
b'fheudar b'éigean
b'fhiach b'fhiú
b'fhasa b'fhusa
bh' bhí
bh'aca bhí acu
bh'againn bhí againn
bh'agam bhí agam
Bhàideanach Bháideanach
Bhàideanaich Bháideanaigh
bh'aig bhí ag
bh'aige bhí aige
bhaile-mhòir bhaile mhóir
bhaile-mhòr bhaile mór
bh'air bhí ar
bhais bháis
bhalachaibh bhuachaillí
Bhalentine Vailintín
bha'n bhí an
bhana-chruitear chruitire mná
bhana-sheinneadair amhránaí mná
Bhan-Mhoabach Móábach mná
bh'ann a bhí ann
bh'annad bhí ionat
bh'annam bhí ionam
bh'annam-sa bhí ionamsa
bh'annta bhí iontu
bharail-sa bharúilse
bhàr-inneil bharra uirlisí
bhàt'-aiseig bhád farantóireachta
bhatar bhíothas
bhathas bhíothas
bheachdsa thuairimse
bheachd-sa thuairimse
bheachdsan thuairimse
bheachd-san thuairimse
bhean-seinn amhránaí mná
bhean-uasal bhean uasal
bheii bhfuil
bheil bhfuil
bheilear bhfuiltear
bheileas bhfuiltear
bheir bhéarfaidh
bheir mbéarfaidh
bheireadh thabharfadh
bheireadh tugadh
bheiream tugaim
bheireamaid thabharfaimis
bheireamaid tugaimis
bheiribh tagaigí
bheirinn thabharfainn
bheirtear bheirtear
Bheniamin Bhiniáimin
bheothalachd-oidhche tsiamsaíocht oíche
Bherlin Bheirlín
Bhern Bheirn
Bhetueil Bhatúél
Bhictoria Victoria
Bhictòria Victoria
bhidiothan-ciùil físeáin cheoil
bhilh bheith
bhileag-iùil bhileog eolais
bhileagan-iùil bhileoga eolais
bhileig-iùil bhileog eolais
bh'innte bhí inti
Bhioctoria Victoria
bhidh bheidh
bhig bhig
bhike rothar
bhilean bheola
bhiomaid bheimis
bhios bhíonn
bhios bheidh
Bhirginia Virginia
bhitb bheith
bhite bhítí
bhithte bhítí
bhitear bheifear
bhitheas bheifear
bhitheadh bheadh
bhitheadh mbeadh
bhithinnsa bheinnse
bhithinn-sa bheinnse
bhithist bhítí
bhithiste bhítí
bhliadhna-sa bhliainse
Bhogotá Bhogatá
bhoin bhó
bh'oirre bhí uirthi
bhois bhos
Bhoston Bhostúin
Bhoston Bhostún
BhPAan BhPAanna
Bhreatainn na Breataine
Bhride Bhríde
bhrògan-spòrs bhróga spóirt
Bhrusaich Bhrúsaigh
Bh-uas Bhean uasal
Bh-Uas Bhean Uasal
bhur ó bhur
b'i ba í
bi beidh
bì beidh
bi mbeidh
bì mbeidh
b'iad ba iad
b'iadsan ba iadsan
bias blas
biathlon dé-atlan
bidh beidh
bidh mbeidh
bileagan-iùil bileoga eolais
bilean beola
Bilhah Bileá
bingo biongó
biomaid mbeimis
bi-sa bí
bi-sa bíse
bite mbítí
bitear bítear
bitear beifear
bitear mbeifear
bitheadh mbeadh
bithibh-se bígí
bithinn-sa mbeinnse
bithte bhítí
bithte mbítí
Blar Blár
blàran-rap cathanna rapcheoil
blia bhí
bliadhna-sa bliana-sa
blogs blaganna
Bmh Bean
Bogotá Bogatá
bogsaichean-baileat boscaí ballóide
boideagan-feòil péisteanna feola
boir bain
boring leadránach
boring leadránacha
Bosta Bòsta
bòtannan-airm buataisí airm
BPAan BPAanna
Brasil an Bhrasaíl
Brazil an Bhrasaíl
brèig bréag
Breatainne Breataine
Brighde Bríde
Bristol Briostó
Brìd Bríd
brògan-spòrs bróga spóirt
b'thusa ba thusa
btw das
Budapest Búdaipeist
Budapest mBúdaipeist
Buddha Búda
buidhnean-obrach grúpaí oibre
Bulgaria an Bhulgáir
Bun-Sgoil Bunscoil
b'urrainn b'fhéidir
b'urrain b'fhéidir
b'urrainnear b'fhéidir
Burras Speig Neanta
cafe caifé
Caiaphas Cáiafas
Càinan Céanán
Cairo Caireo
cairtean-creideis cártaí creidmheasa
cairtean-puist cártaí poist
Calafòrnia California
Caledonia Caladóin
Calicut Calcúta
Campus Campas
Canàan Canán
cante ndéarfaí
cante dhéarfaí
Caoimhìn Caoimhín
Caoimhin Caoimhín
carbaid-phoileis cairr póilíní
Catalan Catalóinis
Catalonia an Chatalóin
cbig cúig
cbo chomh
CDan CDanna
CDs CDanna
Ceann-suidhhe Uachtarán
cearcall-teine ciorcal tine
cearcan-fraoich cearca fraoigh
cèill ciall
Ceolas Ceòlas
Cèoto Kiótó
chàch an chuid eile
Chaiaphas Cháiafas
chàich an chuid eile
chaid chéad
chaidheadh chuathas
chaineil níl
Chairinis Chàirinis
chairt-chreideis chárta creidmheasa
chairt-creideis chárta creidmheasa
chairt-phuist chárta poist
chairt-puist cárta poist
chairtean-creideis chártaí creidmheasa
cha-mhòr ba bheag
cha-mhòr is beag
cha-mhòr beagnach
cha-mhòr nach mór
Chanàain Chanán
Chanaain Chanán
chanainn-sa déarfainnse
cha'n'eil níl
chaneil níl
chapall-coille chapall coille
Charibbean Chairib
Charlabhaigh Chàrlabhaigh
chat-sa chat-sa
Cheannanais Cheanannais
cheann-seachdain dheireadh seachtaine
cheann-uidhe cheann scríbe
chearcaill-theine chiorcail tine
chearcall-theine chiorcal tine
chearcan-fraoich chearca fraoigh
Cheasar Céasar
Cheasar Chéasar
Chèasar Céasar
Chèasar Chéasar
chèil' chéile
chèile chéile
chéil' chéile
chéile chéile
chèill chéill
chèin i gcéin
cheumnachd searmanas bronnta céimeanna
chi bhfeicfidh
chi feicfidh
chi fheicfidh
chilli cillí
chinne-daonna chine daonna
chinne-daonna chine dhaonna
chinne-dhaonna chine daonna
chinne-dhaonna chine dhaonna
chinn-uidhe cheann scríbe
chinn-uidhe chinn scríbe
chips sceallóga
chirc chearc
chirc gcearc
chìte d'fheiceadh
chìte d'fheictí
chìtheadh d'fheicfeadh
chìtheadh fheicfeadh
chìthear bhfeicfear
chìthear fheicfear
chìthear feicfear
chlachair shaor cloiche
chlachan-meallain chlocha sneachta
chlachan-mìle chlocha míle
chlach-mhìle chloch mhíle
chlaich chloch
chlainn chlann
chlann-sgoile pháistí scoile
chlàran-fuaime thaifid fhuaime
chlàr-gnothaich chlár oibre
chlàr-obrach chlár oibre
chlasrum sheomra ranga
chlasrùm sheomra ranga
chleas-sgrìobhaidh chiúta liteartha
Chlio Chléó
chloich chloch
chloinn chlann
Chluaisean Chluaisín
Chluaisein Chluaisín
chluinn chluinnfidh
chluinn gcluinnfidh
chluinntear chluinfear
chluinntear chluintear
chnàimh-droma chnámh droma
chnàmhan-droma cnámha droma
chocolates seacláidí
choille-uisge fhoraois bháistí
choillidh choill
choimhead-sa bhreathnú
choin-chaorach mhadra caorach
Choin-Chaorach Mhadra Caorach
chOir chóir
chòir-bhreith cheart sinsearachta
chòir-bhreithe cheart sinsearachta
choire-sa lochtsa
chòirichean chearta
chois chos
cho-là-breith lá breithe
Choloimbia na Colóime
chomann-shòisealta chumann sóisialta
chomainn-sòisealta chumainn shóisialta
chomann-shòisealta chumann sóisialta
chomann-sòisealta chumann sóisialta
chomasan chumas
chòmhlan-ciùil bhanna ceoil
Chon-Chaorach Mhadra Caorach
cho-ogha chol ceathrair
cho-op chomharchumann
cho-op chomharchumainn
chòr chóir
chòraichean chearta
chosaibh chosa
chrann-ceusaidh chrann céasta
chrann-cheusaidh chrann céasta
chraoibh chrann
chreig chreig
chrìch chríoch
chrich chríoch
chrìch teorainn
chrich teorainn
chrìch theorainn
chrich theorainn
chrios-ghiùlai chrios iompair
chrith-thalmhainn chrith talún
chual' chuala
chual' gcuala
chualas chualathas
chualas gcualathas
chuideigin dhuine éigin
chuig chuig
chuile chuile
Chuimrigh Bhreatain Bheag
chùis-lagha chúis dlí
chùlaibh chúl
chulaibh chúl
chum chun
chunna chonaic
chunnacas chonacthas
chunnacas gconacthas
chunnaig chonaic
chur-seachad chaitheamh aimsire
chur-seachadan chaitheamh aimsire
chur-seachadan shiamsaíocht
cigarette toitín
cinn-uidhe cinn scríbe
circ cearc
clachairean saoir chloiche
clachan-meallain clocha sneachta
clachan-mìle clocha míle
clan clann
clàran-fuaime taifid fhuaime
c1eachdadh úsáid
cleasan-teine tinte ealaíne
Cleopatra Cléapatra
Cliatha Cliath
Clio Cléó
cloich cloch
cloinn clann
Cluaisean Cluaisín
Cluaisein Cluaisín
clubaichean-dannsa clubanna damhsa
clubaichean-oidhche clubanna oíche
c1uich imirt
cluinn chluinnfidh
cluinn gcluinnfidh
cluinntear cluinfear
cluinntear cluintear
'cluinntinn ag cloisteáil
c6ig cúig
Coirèa an Chóiré
còirichean cearta
cois cos
co-là-breith-se breithlá-sa
co-latha-brèith breithlá
Colombia an Cholóim
Colum Colm
com com
comann-sòisealta gcumann sóisialta
comasan cumas
Comhghall Còmhghall
companasan-catharra páirtnéireachtaí sibhialta
Constantinople Cathair Chonstaintín
cookie fianán
co-op chomharchumann
co-op chomharchumainn
co-op comharchumann
co-op comharchumainn
Copenhagen Cóbanhávan
Corah Corach
còraichean cearta
corailean coiréil
Corcaigh Corcaigh
Corcaigh Corcaí
Corcaigh Chorcaí
Corea an Chóiré
corporal ceannaire
courtiers cúirteoirí
crainn-ghaoithe tuirbíní gaoithe
craoibh gcrann
creig creig
crìch críoch
crich críoch
cuala chuala
cuala gcuala
cualadh chualathas
cualadh gcualathas
cualas chualathas
cualas gcualathas
cuI cúl
Cuil-lodair Cùil Lodair
cuimhn'am cuimhne agam
cùise-lagha cúise dlí
cùisean-lagha cúiseanna dlí
culaibh cúl
cultural cultúrtha
Cumantan Teachtaí
'cur ag cur
cur-an-gnìomh cur i bhfeidhm
cur-an-gnìomh cur i ngníomh
Cur-an-Seilbh Infheistíochta
cur-an-seilbh infheistiú
curseachadan caitheamh aimsire
curseachadan siamsaíocht
cur-seachadan caitheamh aimsire
cur-seachadan siamsaíocht
d' d'
daga-plasma piostal plasma
dainig tháinig
dàinig tháinig
damhain-allaidh damháin alla
daoinibh daoine
deach dheachaigh
deach ndeachaigh
deachaidh dheachaigh
deachaidh ndeachaigh
deachas dheachthas
deachas ndeachthas
deadh rachadh
Dealbh-Chluich Dráma
dean dhéanfaidh
dean ndéanfaidh
dèan dhéanfaidh
dèan ndéanfaidh
dèanar dhéantar
deanarnh déanamh
deannan roinnt
dèantar déantar
dèantar dhéantar
dearbhairean-liteachaidh litreoirí
dearganaich saighdiúirí dearga
deicheadan tréimhsí deich mbliana
deidhinn rachainn
deidheadh rachadh
deighinn rachainn
deigheadh rachadh
deigheamaid rachaimis
deireadh-sheachdain deireadh seachtaine
Delhi Deilí
dè'n cén
dengue deinge
depot stáisiún
detective bleachtaire
detective bhleachtaire
detective mbleachtaire
Devonian Deavónach
Devonian Dheavónach
Devonian Deavónacha
d'fhuair bhfuair
d'fhuair fuair
d'fhuaireadh bhfuarthas
d'fhuaireadh fuarthas
d'fhuaradh bhfuarthas
d'fhuaradh fuarthas
d'fhuaras bhfuarthas
d'fhuaras fuarthas
Dh' D'
Db' D'
dh' d'
db' d'
dh'aindeoin in ainneoin
dh'aithghearr go luath
dhalta leanbh altrama
dhaoine-uasal daoine uaisle
dhaoinibh dhaoine
dhàrna dara
dhàta shonraí
dhàta sonraí
dheadh rachadh
dheagh dhea-
dhèanar ndéantar
dheanarnh dhéanamh
dhèantar dhéantar
dhèantar ndéantar
Dheathainn Dheathain
dheidhinn rachainn
dheidheadh rachadh
dheidheamaid rachaimis
dh'eigh bhéic
dh'eigh scairt
dheighinn rachainn
dheigheadh rachadh
dheigheamaid rachaimis
dheisciobluibh dheisceabail
dhenamh dhéanamh
dheug dhéag
dh'fhaodte seans
dh'fhaoidte seans
dh'fheumadh chaithfeadh
dh'fheumar chaithfear
dh'fheumas chaithfidh
dh'fheumte chaithfí
dh'fhreagair d'fhreagair
dh'fhuair fuair
dhiag dhéag
Dhihaoine Dé hAoine
dhìlsean mhuintir
Dhiluain Dé Luain
DhiLuain Dé Luain
Dhimàirt Dé Máirt
dhìnichean jíons
dhiùchd nocht
dhiùchd nochtadh
Dhiùrach Dhiúrach
dhòigh-beatha shlí mhaireachtála
dhòigh-obrach nós imeachta
dhòighean-obrach nósanna imeachta
dhorduich d'ordaigh
dhraghan bhuarthaí
dhràma-sa dhráma-sa
dhrathais bhrístí
dhroch dhroch
dhualchasan thraidisiúin
dhuilleagan-obrach bhileoga oibre
dhuine-uasal dhuine uasal
diag déag
diathan déithe
DiC DéC
Diciad Dé Céad
dictator deachtóir
diesel díosail
dìlsean muintir
Diluain-Disathairne Dé Luain-Dé Sathairn
dìnichean jíons
Diosgo-DJ Dioscó-DJ
diugh inniu
DIY DFÉ
dlreach díreach
dòchasan dóchas
dòighean-beatha modhanna maireachtála
dòighean-labhairt modhanna labhartha
dòighean-obrach nósanna imeachta
dòighean-obrachaidh modhanna oibre
dòighean-sgrìobhaidh modhanna scríofa
dòighean-teagaisg modhanna teagaisc
'dol ag dul
draghan buarthaí
d'rainig shroich
d'rainig sroich
d'ràinig shroich
d'ràinig sroich
d'readh rachadh
d'reigheadh rachadh
d'reigheamaid rachaimis
d'reighinn rachainn
d'rinn dhearna
d'rinn ndearna
d'rinneadh dhearnadh
d'rinneadh ndearnadh
d'rug rug
d'rugadh rugadh
d'thàinig tháinig
dthàinig tháinig
dthainig tháinig
d'thainig tháinig
d'thubhairt dúirt
d'thubhairt ndúirt
d'thug thug
dthug thug
d'thugadh tugadh
dthugadh tugadh
d'thuirt dúirt
d'thuirt ndúirt
Dtr Dr
dualchasan traidisiúin
dubhairt dúirt
dubhairt ndúirt
dùbhradh dúradh
dùbhradh ndúradh
dùil'am dúil agam
duilleagan-lìn leathanaigh Ghréasáin
duilleagan-obrach bileoga oibre
duine-uasail duine uasail
duirt dúirt
duirt ndúirt
Dùn-Èideann Dún Éideann
Dun-Eideann Dún Éideann
dungarees dungaraithe
DVDan DVDanna
ea' sé ag
Eabhraig Eabhrac
Eadar-Reultach Idir-Réaltach
eadh ea
ealain ealaíne
ealan n-ealaíon
Earra-Ghaidheal Earra-Ghàidheal
Earra-Gháidheal Earra-Ghàidheal
Earra-ghàidheal Earra-Ghàidheal
Earraghàidheal Earra-Ghàidheal
Earraghaidheal Earra-Ghàidheal
Ear-Thuath Thoir Thuaidh
Ear-Thuath Oirthuaisceart
Eber Éibir
echo sé chomh
Eclesiastes Cóiheilit
Edein Éidin
Edoim Eadóm
Edom Eadóm
e-féin é féin
e-fhèin é féin
e-fhèin sé féin
e-fhéin é féin
e-fhéin sé féin
eg msh
eho chomh
Eidean Éideann
Èidean Éideann
Eideann Éideann
Èideann Éideann
Èidinn Éideann
Eidinn Éideann
Eigich Eigigh
éigin éigean
éigin éigin
eigin éigin
eil bhfuil
'eil bhfuil
eilear bhfuiltear
eileas bhfuiltear
Eire Éire
Éirinn Éire
Éirinn Éirinn
eisdibh éistigí
èisteabh éistigí
éisteabh éistigí
éistibh éistigí
Eleasar Eileázár
electric leictreach
electric leictreacha
Eliah Éilias
Elimelech Eilímeilic
Eliphads Eilífeaz
Elisa Eilíseá
ell bhfuil
e'n sé an
Enos Eanóis
eòin-mhara éin mhara
eòlasan eachtraí
Eorpaich Eorpaigh
Ephraim Eafráím
Ephron Eafrón
Er Éar
Esaias Íseáia
Esau Éasáú
etc srl
EU AE
Eubha Éabha
Euripides Eoiripidéas
Euripides hEoiripidéas
EURoeTha Tá
fac' bhfaca
faca bhfaca
facadh fhacthas
facas fhacthas
fags toitíní
faic bhfeicfidh
faic fheicfidh
faiceadh fheicfeadh
faiceadh bhfeicfeadh
faiceamaid fheicfimis
faiceamaid bhfeicfimis
faicear fheicfear
faicear bhfeicfear
faicinn fheicfinn
faicinn bhfeicfinn
faictear feictear
faictear fheicfear
faictear bhfeicfear
faidhlichean-fuaim comhaid fhuaime
faidhlichean-fuaime comhaid fhuaime
faigh bhfaighidh
faighear bhfaighfear
faighinn bhfaighinn
faightear bhfaighfear
faightear faightear
fàinneachan-còmhnaidh fáinní cónaí
fearr fearr
feàrr fearr
feairrde fearrde
feàirrde fearrde
Feinne Féinne
Fèinne Féinne
feirg fearg
feirg feirge
Feisidh Fèisidh
feumidh caithfidh
feumar gcaithfear
feusgain-neamhnaid diúilicíní péarla
fhac' fhaca
fhac' bhfaca
fhaca fhaca
fhaca bhfaca
fhacas fhacthas
fhaiceadh fheicfeadh
fhaiceadh bhfeicfeadh
fhaiceamaid fheicfimis
fhaiceamaid bhfeicfimis
fhaicinn fheicfinn
fhaicinn bhfeicfinn
fhaidhle-fiosrachaidh comhad fíricí
fhaigh bhfaighidh
fhasa fusa
fheachd-phoilis fhórsa póilíneachta
fheachd-phoilis fórsa póilíneachta
fheairrde fhearrde
fheàirrde fhearrde
fhearas-chuideachd chaitheamh aimsire
fhearas-mhòr éirí in airde
fhear-gnothaich fhear gnó
fhear-naidheachd fhear nuachta
